iter	Passed	Remaining
0	51	10247
1	97	9657
2	145	9575
3	191	9388
4	237	9273
5	286	9266
6	333	9195
7	378	9087
8	425	9034
9	474	9006
10	519	8931
11	566	8867
12	610	8781
13	654	8700
14	701	8649
15	746	8583
16	790	8508
17	838	8478
18	886	8442
19	934	8409
20	976	8326
21	1023	8278
22	1070	8235
23	1118	8198
24	1163	8147
25	1210	8099
26	1254	8039
27	1301	7995
28	1346	7941
29	1394	7900
30	1443	7866
31	1489	7817
32	1533	7762
33	1572	7679
34	1622	7648
35	1668	7599
36	1711	7541
37	1757	7494
38	1803	7445
39	1848	7392
40	1897	7358
41	1944	7314
42	1990	7267
43	2038	7225
44	2082	7174
45	2125	7115
46	2169	7062
47	2213	7008
48	2259	6961
49	2303	6911
50	2347	6858
51	2395	6816
52	2442	6773
53	2488	6729
54	2539	6695
55	2588	6655
56	2633	6606
57	2681	6564
58	2729	6523
59	2778	6483
60	2826	6441
61	2873	6396
62	2919	6349
63	2968	6308
64	3014	6260
65	3062	6217
66	3111	6176
67	3160	6134
68	3205	6084
69	3248	6033
70	3295	5988
71	3343	5944
72	3387	5894
73	3435	5848
74	3482	5803
75	3532	5763
76	3578	5716
77	3624	5669
78	3670	5621
79	3718	5577
80	3764	5531
81	3817	5493
82	3868	5453
83	3916	5409
84	3965	5365
85	4010	5316
86	4059	5273
87	4101	5220
88	4150	5175
89	4198	5131
90	4245	5085
91	4293	5039
92	4336	4989
93	4388	4948
94	4437	4904
95	4485	4859
96	4538	4819
97	4587	4774
98	4635	4729
99	4681	4681
100	4728	4634
101	4773	4586
102	4820	4539
103	4869	4494
104	4915	4447
105	4966	4403
106	5016	4360
107	5063	4312
108	5106	4263
109	5156	4218
110	5207	4175
111	5251	4126
112	5296	4078
113	5343	4031
114	5388	3982
115	5432	3933
116	5477	3886
117	5525	3839
118	5574	3794
119	5620	3747
120	5668	3700
121	5715	3654
122	5760	3606
123	5805	3558
124	5852	3511
125	5898	3464
126	5947	3418
127	5997	3373
128	6045	3327
129	6090	3279
130	6138	3233
131	6186	3187
132	6234	3140
133	6280	3093
134	6328	3047
135	6376	3000
136	6425	2954
137	6475	2909
138	6521	2861
139	6566	2814
140	6615	2768
141	6664	2721
142	6712	2675
143	6756	2627
144	6803	2580
145	6852	2534
146	6900	2488
147	6944	2439
148	6996	2394
149	7044	2348
150	7093	2301
151	7142	2255
152	7189	2208
153	7240	2162
154	7285	2115
155	7331	2067
156	7375	2020
157	7425	1973
158	7473	1927
159	7518	1879
160	7567	1833
161	7616	1786
162	7661	1739
163	7706	1691
164	7757	1645
165	7805	1598
166	7851	1551
167	7903	1505
168	7953	1458
169	8002	1412
170	8052	1365
171	8100	1318
172	8146	1271
173	8192	1224
174	8240	1177
175	8291	1130
176	8342	1084
177	8390	1037
178	8433	989
179	8479	942
180	8525	894
181	8572	847
182	8619	800
183	8668	753
184	8712	706
185	8758	659
186	8802	611
187	8850	564
188	8900	518
189	8954	471
190	8998	424
191	9048	377
192	9092	329
193	9140	282
194	9185	235
195	9231	188
196	9279	141
197	9327	94
198	9373	47
199	9418	0
